Document Date,Object type,Object,Cost Element,Document Number,Val/COArea Crcy,CO area currency,Value TranCurr,Transaction Currency,Purchasing Document,Purchase order text,Project Definition,WBS Element,Partner object,Partner object type,Posting Date,Created on,User Name,Reversal document,Ref.document type,Ref Document Number,Document type,Value Type,Name,Trading Partner,Functional Area,CO object name,Object type,Partner object type,Cost element name,Cost element descr.,Offsetting acct no.,Offsetting account type,Total Quantity,Total quantity,Personnel Number,Name of employee or applicant,Description,Business Transaction,Document Header Text,Ref. company code,Original bus. trans,Item,Business Area,Company Code,Partner Object Class,FI Posting Item,CO partner object name,Partner-CCtr,Source Object,Source object name,Origin-obj. type,Source object type,Name of offsetting account,Name of offsetting account,Material Description,Material
2/18/2020,NWA,N136176W-03 3000,92771016,923331785,188,USD,188,USD,,,136176,136176W-12-03,463120/PERS4,ATY,2/18/2020,2/18/2020,GS3_USER,,R,37659738,,4,PLC-AB,,7010,Integrated (WCS),Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,2.00,2.00,2215,Wood Edwin,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
1/18/2020,WBS,136176W,98793067,602248426,0,USD,0,USD,,,136176,136176W,52841993,PSG,1/31/2020,1/18/2020,BTC_USER,,R,7810477,,4,,,7010,PS Project Warranty,WBS element,Profitability segmnt,WAR-settle plan cost,WAR - Settlement of planned costs,,,0.00,0.00,0,,"AutoZone - Ocala, FL",KOAO,,,,0,5000,GR01,Profit analysis,0,,,,,,,,,,
1/8/2020,NWA,N136176W-06 6000,92771016,923088303,47,USD,47,USD,,,136176,136176W-12-06-06,463120/PERS4,ATY,1/8/2020,1/8/2020,GS3_USER,,R,37659782,,4,PLC A-B,,7010,Mechanical Installation Labor PERM,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,0.50,0.50,512805,Carter William,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
1/1/2020,WBS,136176W,98793067,602245721,0,USD,0,USD,,,136176,136176W,52841993,PSG,12/31/2019,1/1/2020,BTC_USER,,R,7807915,,4,,,7010,PS Project Warranty,WBS element,Profitability segmnt,WAR-settle plan cost,WAR - Settlement of planned costs,,,0.00,0.00,0,,"AutoZone - Ocala, FL",KOAO,,,,0,5000,GR01,Profit analysis,0,,,,,,,,,,
12/30/2019,NWA,N136176W-02 2000,92771016,923064422,44.5,USD,44.5,USD,,,136176,136176W-12-01-02,463120/PERS4,ATY,12/30/2019,12/30/2019,GS3_USER,,R,37659751,,4,PLC-AB,,7010,Controls PS Engineering Labor General,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,0.50,0.50,2215,Wood Edwin,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
12/26/2019,NWA,N136176W-03 3000,92771016,923055873,44.5,USD,44.5,USD,,,136176,136176W-12-03,463120/PERS4,ATY,12/26/2019,12/26/2019,GS3_USER,,R,37659738,,4,Controls,,7010,Integrated (WCS),Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,0.50,0.50,13950,Steudle Roland,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
12/14/2019,WBS,136176W,98793067,602233271,0,USD,0,USD,,,136176,136176W,52841993,PSG,12/31/2019,12/14/2019,BTC_USER,,R,7794525,,4,,,7010,PS Project Warranty,WBS element,Profitability segmnt,WAR-settle plan cost,WAR - Settlement of planned costs,,,0.00,0.00,0,,"AutoZone - Ocala, FL",KOAO,,,,0,5000,GR01,Profit analysis,0,,,,,,,,,,
12/6/2019,NWA,N136176W-06 6000,92771016,922947766,44.5,USD,44.5,USD,,,136176,136176W-12-06-06,463120/PERS4,ATY,12/6/2019,12/6/2019,GS3_USER,,R,37659782,,4,,,7010,Mechanical Installation Labor PERM,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,0.50,0.50,512805,Carter William,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
12/6/2019,NWA,N136176W-06 6000,92771016,922947767,89,USD,89,USD,,,136176,136176W-12-06-06,463120/PERS4,ATY,12/6/2019,12/6/2019,GS3_USER,,R,37659782,,4,,,7010,Mechanical Installation Labor PERM,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,1.00,1.00,512805,Carter William,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
12/6/2019,NWA,N136176W-06 6000,92771016,922947768,89,USD,89,USD,,,136176,136176W-12-06-06,463120/PERS4,ATY,12/6/2019,12/6/2019,GS3_USER,,R,37659782,,4,,,7010,Mechanical Installation Labor PERM,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,1.00,1.00,512805,Carter William,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
12/6/2019,NWA,N136176W-06 6000,92771016,922947769,44.5,USD,44.5,USD,,,136176,136176W-12-06-06,463120/PERS4,ATY,12/6/2019,12/6/2019,GS3_USER,,R,37659782,,4,,,7010,Mechanical Installation Labor PERM,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,0.50,0.50,512805,Carter William,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
12/2/2019,NWA,N136176W-02 2000,92771016,922918194,44.5,USD,44.5,USD,,,136176,136176W-12-01-02,463120/PERS4,ATY,12/2/2019,12/2/2019,GS3_USER,,R,37659751,,4,PLC-AB,,7010,Controls PS Engineering Labor General,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,0.50,0.50,50003108,Tinsley Javon,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
12/1/2019,WBS,136176W,98793067,602233185,0,USD,0,USD,,,136176,136176W,52841993,PSG,11/30/2019,12/1/2019,BTC_USER,,R,7786132,,4,,,7010,PS Project Warranty,WBS element,Profitability segmnt,WAR-settle plan cost,WAR - Settlement of planned costs,,,0.00,0.00,0,,"AutoZone - Ocala, FL",KOAO,,,,0,5000,GR01,Profit analysis,0,,,,,,,,,,
11/29/2019,NWA,N136176W-02 2000,92771016,922911363,44.5,USD,44.5,USD,,,136176,136176W-12-01-02,463120/PERS4,ATY,11/29/2019,11/29/2019,GS3_USER,,R,37659751,,4,PLC-AB,,7010,Controls PS Engineering Labor General,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,0.50,0.50,4511701,Stevenson Kevin,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
11/29/2019,NWA,N136176W-02 2000,92771016,922911364,44.5,USD,44.5,USD,,,136176,136176W-12-01-02,463120/PERS4,ATY,11/29/2019,11/29/2019,GS3_USER,,R,37659751,,4,PLC-AB,,7010,Controls PS Engineering Labor General,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,0.50,0.50,4511701,Stevenson Kevin,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
11/26/2019,NWA,N136176W-06 6000,92771016,922881979,89,USD,89,USD,,,136176,136176W-12-06-06,463120/PERS4,ATY,11/26/2019,11/26/2019,GS3_USER,,R,37659782,,4,,,7010,Mechanical Installation Labor PERM,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,1.00,1.00,15356,Shadowens Jordan,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
11/23/2019,WBS,136176W,98793067,602228617,0,USD,0,USD,,,136176,136176W,52841993,PSG,11/30/2019,11/23/2019,BTC_USER,,R,7778451,,4,,,7010,PS Project Warranty,WBS element,Profitability segmnt,WAR-settle plan cost,WAR - Settlement of planned costs,,,0.00,0.00,0,,"AutoZone - Ocala, FL",KOAO,,,,0,5000,GR01,Profit analysis,0,,,,,,,,,,
11/22/2019,NWA,N136176W-03 3000,92771016,922849756,44.5,USD,44.5,USD,,,136176,136176W-12-03,463120/PERS4,ATY,11/22/2019,11/22/2019,GS3_USER,,R,37659738,,4,CC 02: False Fire Alarm,,7010,Integrated (WCS),Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,0.50,0.50,50092728,Rose Lanndon,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
11/16/2019,WBS,136176W,98793067,602223222,0,USD,0,USD,,,136176,136176W,52841993,PSG,11/30/2019,11/16/2019,BTC_USER,,R,7770721,,4,,,7010,PS Project Warranty,WBS element,Profitability segmnt,WAR-settle plan cost,WAR - Settlement of planned costs,,,0.00,0.00,0,,"AutoZone - Ocala, FL",KOAO,,,,0,5000,GR01,Profit analysis,0,,,,,,,,,,
11/6/2019,NWA,N136176W-06 6000,92771016,922760262,26.7,USD,26.7,USD,,,136176,136176W-12-06-06,463120/PERS4,ATY,11/6/2019,11/6/2019,GS3_USER,,R,37659782,,4,LEvels,,7010,Mechanical Installation Labor PERM,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,0.30,0.30,50003031,Neville Brey,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
11/1/2019,WBS,136176W,98793067,602218933,0,USD,0,USD,,,136176,136176W,52841993,PSG,10/31/2019,11/1/2019,BTC_USER,,R,7760621,,4,,,7010,PS Project Warranty,WBS element,Profitability segmnt,WAR-settle plan cost,WAR - Settlement of planned costs,,,0.00,0.00,0,,"AutoZone - Ocala, FL",KOAO,,,,0,5000,GR01,Profit analysis,0,,,,,,,,,,
10/31/2019,NWA,N136176W-02 2000,92771016,922737737,44.5,USD,44.5,USD,,,136176,136176W-12-01-02,463120/PERS4,ATY,10/31/2019,10/31/2019,GS3_USER,,R,37659751,,4,PLC-AB,,7010,Controls PS Engineering Labor General,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,0.50,0.50,513106,Dodds Terry,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
10/31/2019,NWA,N136176W-02 2000,92771016,922737738,71.2,USD,71.2,USD,,,136176,136176W-12-01-02,463120/PERS4,ATY,10/31/2019,10/31/2019,GS3_USER,,R,37659751,,4,PLC-AB,,7010,Controls PS Engineering Labor General,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,0.80,0.80,14614,Wohl Benjamin,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
10/31/2019,NWA,N136176W-02 2000,92771016,922737739,62.3,USD,62.3,USD,,,136176,136176W-12-01-02,463120/PERS4,ATY,10/31/2019,10/31/2019,GS3_USER,,R,37659751,,4,PLC-AB,,7010,Controls PS Engineering Labor General,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,0.70,0.70,14614,Wohl Benjamin,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
10/31/2019,NWA,N136176W-02 2000,92771016,922737740,44.5,USD,44.5,USD,,,136176,136176W-12-01-02,463120/PERS4,ATY,10/31/2019,10/31/2019,GS3_USER,,R,37659751,,4,Director IQ,,7010,Controls PS Engineering Labor General,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,0.50,0.50,16077,Bultema Todd,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
10/31/2019,NWA,N136176W-02 2000,92771016,922737741,44.5,USD,44.5,USD,,,136176,136176W-12-01-02,463120/PERS4,ATY,10/31/2019,10/31/2019,GS3_USER,,R,37659751,,4,PLC-AB,,7010,Controls PS Engineering Labor General,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,0.50,0.50,513106,Dodds Terry,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
10/31/2019,NWA,N136176W-02 2000,92771016,922737742,44.5,USD,44.5,USD,,,136176,136176W-12-01-02,463120/PERS4,ATY,10/31/2019,10/31/2019,GS3_USER,,R,37659751,,4,PLC-AB,,7010,Controls PS Engineering Labor General,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,0.50,0.50,513106,Dodds Terry,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
10/31/2019,NWA,N136176W-02 2000,92771016,922737743,44.5,USD,44.5,USD,,,136176,136176W-12-01-02,463120/PERS4,ATY,10/31/2019,10/31/2019,GS3_USER,,R,37659751,,4,Mechanical Conveyor,,7010,Controls PS Engineering Labor General,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,0.50,0.50,513106,Dodds Terry,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
10/31/2019,NWA,N136176W-06 6000,92771016,922737744,133.5,USD,133.5,USD,,,136176,136176W-12-06-06,463120/PERS4,ATY,10/31/2019,10/31/2019,GS3_USER,,R,37659782,,4,Site need electrical schematics,,7010,Mechanical Installation Labor PERM,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,1.50,1.50,510142,Perry Donald,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
10/31/2019,NWA,N136176W-06 6000,92771016,922737745,89,USD,89,USD,,,136176,136176W-12-06-06,463120/PERS4,ATY,10/31/2019,10/31/2019,GS3_USER,,R,37659782,,4,Conveyor,,7010,Mechanical Installation Labor PERM,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,1.00,1.00,512805,Carter William,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
10/31/2019,NWA,N136176W-06 6000,92771016,922737746,44.5,USD,44.5,USD,,,136176,136176W-12-06-06,463120/PERS4,ATY,10/31/2019,10/31/2019,GS3_USER,,R,37659782,,4,Conveyor,,7010,Mechanical Installation Labor PERM,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,0.50,0.50,512805,Carter William,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
10/30/2019,NWA,N136176W-06 6000,92771016,922718379,44.5,USD,44.5,USD,,,136176,136176W-12-06-06,463120/PERS4,ATY,10/30/2019,10/30/2019,GS3_USER,,R,37659782,,4,Low Pressure light,,7010,Mechanical Installation Labor PERM,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,0.50,0.50,50003031,Neville Brey,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
10/30/2019,NWA,N136176W-06 6000,92771016,922718380,89,USD,89,USD,,,136176,136176W-12-06-06,463120/PERS4,ATY,10/30/2019,10/30/2019,GS3_USER,,R,37659782,,4,levels,,7010,Mechanical Installation Labor PERM,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,1.00,1.00,50003031,Neville Brey,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
9/28/2019,WBS,136176W,98793067,602198337,0,USD,0,USD,,,136176,136176W,52841993,PSG,9/30/2019,9/28/2019,BTC_USER,,R,7725502,,4,,,7010,PS Project Warranty,WBS element,Profitability segmnt,WAR-settle plan cost,WAR - Settlement of planned costs,,,0.00,0.00,0,,"AutoZone - Ocala, FL",KOAO,,,,0,5000,GR01,Profit analysis,0,,,,,,,,,,
9/26/2019,NWA,N136176W-03 3000,92771016,922525469,44.5,USD,44.5,USD,,,136176,136176W-12-03,463120/PERS4,ATY,9/26/2019,9/26/2019,GS3_USER,,R,37659738,,4,PLC-AB,,7010,Integrated (WCS),Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,0.50,0.50,1000206,Hopman Zachary,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
9/26/2019,NWA,N136176W-06 6000,92771016,922525470,133.5,USD,133.5,USD,,,136176,136176W-12-06-06,463120/PERS4,ATY,9/26/2019,9/26/2019,GS3_USER,,R,37659782,,4,motor faults,,7010,Mechanical Installation Labor PERM,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,1.50,1.50,15074,Garcia Jorge,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
9/21/2019,WBS,136176W,98793067,602195156,0,USD,0,USD,,,136176,136176W,52841993,PSG,9/30/2019,9/21/2019,BTC_USER,,R,7716864,,4,,,7010,PS Project Warranty,WBS element,Profitability segmnt,WAR-settle plan cost,WAR - Settlement of planned costs,,,0.00,0.00,0,,"AutoZone - Ocala, FL",KOAO,,,,0,5000,GR01,Profit analysis,0,,,,,,,,,,
9/11/2019,NWA,N136176W-03 3000,92771016,922421848,44.5,USD,44.5,USD,,,136176,136176W-12-03,463120/PERS4,ATY,9/11/2019,9/11/2019,GS3_USER,,R,37659738,,4,PLC-AB,,7010,Integrated (WCS),Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,0.50,0.50,1000206,Hopman Zachary,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
9/4/2019,WBS,136176W-12-12,60100006,228962596,35.36,USD,35.36,USD,,,136176,136176W-12-12,,,11/7/2019,11/7/2019,CAHOONLA,,R,1900094801,KR,4,,0,7010,PS Special Cost,WBS element,,Freight,Freight,74859,K,0.00,0.00,0,,"AutoZone - Ocala, FL",COIN,,GR01,RFBU,0,5000,GR01,,17,,,,,,,FEDEX,FEDEX,,
9/1/2019,WBS,136176W,98793067,602191926,0,USD,0,USD,,,136176,136176W,52841993,PSG,8/31/2019,9/1/2019,BTC_USER,,R,7712235,,4,,,7010,PS Project Warranty,WBS element,Profitability segmnt,WAR-settle plan cost,WAR - Settlement of planned costs,,,0.00,0.00,0,,"AutoZone - Ocala, FL",KOAO,,,,0,5000,GR01,Profit analysis,0,,,,,,,,,,
8/27/2019,NWA,N136176W-03 3000,92771016,922330897,44.5,USD,44.5,USD,,,136176,136176W-12-03,463120/PERS4,ATY,8/27/2019,8/27/2019,GS3_USER,,R,37659738,,4,Director IT,,7010,Integrated (WCS),Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,0.50,0.50,1000207,Dietzer Daniel,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
